Annelida	Ascidia	Bryozoa	CCA	Chlorophyta	Cnidaria	Colonial_Ascidia	Crustacea	Echinodermata	Foraminifera	Indeterminate	Mollusca	Not_alive	Other_Algae	Phaeophyta	Porifera	Rhodophyta
1	0	10	19	0	0	0	0	0	1	0	0	25	1	0	7	0
5	0	9	0	0	0	0	0	0	0	18	0	27	0	0	3	2
0	0	12	11	0	0	0	0	0	3	7	2	26	0	0	3	0
7	0	11	4	4	0	0	0	0	1	2	1	19	0	0	15	0
3	0	12	0	0	0	0	0	0	0	12	0	33	0	0	4	0
8	0	12	10	0	0	0	0	0	0	4	0	19	0	0	11	0
3	0	6	16	0	0	0	0	0	0	8	0	25	0	0	5	1
4	0	26	13	1	0	0	0	0	0	2	0	14	0	0	2	2
1	0	19	16	0	0	0	0	0	0	4	0	16	6	0	2	0
16	0	2	0	0	0	0	0	0	0	0	2	44	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	52	0	2	0	1
7	0	15	1	0	0	0	0	0	0	0	5	33	0	0	3	0
5	0	13	0	0	0	4	0	0	0	0	2	26	0	0	14	0
8	0	19	0	0	0	6	0	0	0	1	2	28	0	0	0	0
8	0	1	1	1	3	8	1	0	0	7	1	27	0	0	4	2
6	0	6	0	0	6	2	0	0	0	3	4	34	0	0	0	3
9	0	2	0	0	6	0	0	0	0	6	5	36	0	0	0	0
18	0	16	0	0	0	0	0	0	0	3	1	25	0	0	0	1
14	0	22	0	0	0	0	0	0	0	2	0	22	0	1	0	3
13	0	21	0	0	0	0	0	0	0	7	0	22	0	0	0	1
17	2	22	0	0	0	0	0	0	0	2	0	20	0	0	0	1
30	0	8	0	0	0	0	0	0	0	3	0	22	0	0	0	1
32	1	5	0	0	0	0	1	0	0	3	2	18	0	0	0	2
18	0	5	0	0	0	0	0	0	0	2	1	36	0	0	0	2
6	0	1	0	0	0	0	0	0	0	3	0	32	22	0	0	0
15	0	6	0	0	0	0	0	0	0	3	0	35	5	0	0	0
14	0	21	2	0	0	0	0	0	0	0	0	27	0	0	0	0
19	2	15	0	0	0	0	0	0	0	3	0	23	0	0	0	2
14	0	21	5	0	0	0	0	0	0	1	0	23	0	0	0	0
9	0	32	1	0	0	0	0	0	0	2	0	20	0	0	0	0
2	0	28	4	0	1	0	0	0	0	1	0	27	0	0	0	1
11	3	12	4	0	0	0	0	0	0	6	1	27	0	0	0	0
4	0	31	0	0	0	0	0	0	0	2	0	27	0	0	0	0
3	11	23	3	0	0	0	0	0	0	1	0	23	0	0	0	0
2	0	33	0	0	0	0	0	0	0	0	0	26	0	0	0	3
